FPS L3 multiplicity cut, $J/\psi$ ratio
FpsL3Multi < 48 , 0.9307 
FpsL3Multi < 47 , 0.9215 
FpsL3Multi < 46 , 0.9111 
FpsL3Multi < 45 , 0.9007 
FpsL3Multi < 44 , 0.8894 
FpsL3Multi < 43 , 0.8772 
